"SIF_STR","NAZIV","NASLOV","POSTA","KRAJ","TEKST","NAZIV1","SKUP","X","Y","TOT_DIST_km","TOT_TIME_min","TOT_TIME_h_min"
7325,"BRANTNER WALTER, d.o.o.","DOLENJSKA CESTA 43",1000,"LJUBLJANA","OSTALO","PE LENART","1000 DOLENJSKA CESTA 43","14,52471214","46,03585628",291,268,04:28
7359,"BREZNIK ANDREJ, s.p.","ULICA BRATOV BERGLEZ 10",2331,"PRAGERSKO","OSTALO","PE LENART","2331 ULICA BRATOV BERGLEZ 10","15,65694675","46,39813642",87,86,01:26
7279,"CENTER ZA SOCIALNO DELO","PREŠERNOVA 17A",9240,"LJUTOMER","OSTALO","PE LENART","9240 PREŠERNOVA 17A","16,19436692","46,52114837",79,104,01:44
7312,"CENTER ZA SOCIALNO DELO GORNJA RADGONA","PARTIZANSKA CESTA 21",9250,"GORNJA RADGONA","OSTALO","PE LENART","9250 PARTIZANSKA CESTA 21","15,99169765","46,67641337",36,42,00:42
7586,"CENTER ZA SOCIALNO DELO LENART","ILAUNIGOVA ULICA 19",2230,"LENART V SLOVENSKIH GORICAH","OSTALO","PE LENART","2230 ILAUNIGOVA ULICA 19","15,82784974","46,57711704",2,6,00:06
7607,"CENTER ZA SOCIALNO DELO RAVNE NA KOROŠKEM - L","GOZDARSKA POT 17",2390,"RAVNE NA KOROŠKEM","OSTALO","PE LENART","2390 GOZDARSKA POT 17","14,96170526","46,53885206",181,202,03:22
6345,"CEROD, d.o.o.","KETTEJEV DREVORED 3",8000,"NOVO MESTO","INTERNO","PE LENART","8000 KETTEJEV DREVORED 3","15,1629836","45,80607579",334,330,05:30
7219,"CEROD, d.o.o. - prevoz za lastne potrebe","KETTEJEV DREVORED 3",8000,"NOVO MESTO","INTERNO","PE LENART","8000 KETTEJEV DREVORED 3","15,1629836","45,80607579",334,330,05:30
7301,"CEROD, d.o.o. - prevoz za lastne potrebe","KETTEJEV DREVORED 3",8000,"NOVO MESTO","INTERNO","PE LENART","8000 KETTEJEV DREVORED 3","15,1629836","45,80607579",334,330,05:30
7537,"CEROD, d.o.o. VRAČILO (PO OBDELAVI)","KETTEJEV DREVORED 3",8000,"NOVO MESTO","INTERNO","PE LENART","8000 KETTEJEV DREVORED 3","15,1629836","45,80607579",334,330,05:30
7172,"CESTNO PODJETJE MARIBOR, d.d. - PESNICA","IZTOKOVA ULICA 30",2000,"MARIBOR","OSTALO","PE LENART","2000 IZTOKOVA ULICA 30","15,62262863","46,55867353",50,62,01:02
7564,"CESTNO PODJETJE MURSKA SOBOTA, d.d.","LIPOVCI 256B",9231,"BELTINCI","OSTALO","PE LENART","9231 LIPOVCI 256B","16,21215962","46,62410163",79,73,01:13
7036,"CETIS D.D.","ČOPOVA ULICA 24",3000,"CELJE","OSTALO","PE LENART","3000 ČOPOVA ULICA 24","15,25508062","46,23888411",145,142,02:22
7034,"CETIS D.D.","ČOPOVA ULICA 24",3000,"CELJE","OSTALO","PE LENART","3000 ČOPOVA ULICA 24","15,25508062","46,23888411",145,142,02:22
7035,"CETIS D.D.","ČOPOVA ULICA 24",3000,"CELJE","OSTALO","PE LENART","3000 ČOPOVA ULICA 24","15,25508062","46,23888411",145,142,02:22
7036,"CETIS D.D.","ČOPOVA UL. 24",3000,"CELJE","OSTALO","PE LENART","3000 ČOPOVA 24","15,25508062","46,23888411",145,142,02:22
7037,"CETIS D.D.","ČOPOVA ULICA 24",3000,"CELJE","OSTALO","PE LENART","3000 ČOPOVA ULICA 24","15,25508062","46,23888411",145,142,02:22
