SIF_STR;NAZIV;NASLOV;KRAJ;POSTA;SKUP1;X;Y
6025;DIMITRIJ DERETA S.P. vzdr≈æevanje o;RESLJEVA CESTA 7;1000 LJUBLJANA;1000;1000 RESLJEVA CESTA 7;14.51028255;46.05335006
6027;STUDIO REBEKA d.o.o.;CANKARJEVO NABREéJE 9;1000 LJUBLJANA;1000;1000 CANKARJEVO NABREéJE 9;14.50584159;46.04992091
6029;KZ TREBNJE z.o.o. - VRTNI CENTER -;TEMENIäKA POT 2;8210 TREBNJE;8210;8210 TEMENIäKA POT 2;15.01144747;45.90676412
6031;ZMAS PRINT D.O.O.;GABRSKO 11A;1420 TRBOVLJE;1420;1420 GABRSKO 11A;15.05564829;46.17211872
6032;MAKSPROMO d.o.o.;KRANJ»EVA ULICA 20;1000 LJUBLJANA;1000;1000 KRANJ»EVA ULICA 20;14.52086463;46.07008538
6034;NEPREMI»NINE NOVI FORUM D.O.O.;STEGNE 31;1000 LJUBLJANA;1000;1000 STEGNE 31;14.48059017;46.08876013
6035;INTEREXPORT D.O.O.;SLOVENSKA 54;1000 LJUBLJANA;1000;1000 SLOVENSKA 54;14.50556649;46.05615510
6038;UNIVERZUM - center za dopisno izobr;GROäLJEVA 4;1000 LJUBLJANA;1000;1000 GROäLJEVA ULICA 4;14.48284345;46.07452708
6039;LBA d.o.o.;KARLOVäKA 1E;1000 LJUBLJANA;1000;1000 KARLOVäKA CESTA 1E;14.50911312;46.04528316
6040;JAZON D.O.O.;POT V HRASTOVEC 21;1000 LJUBLJANA;1000;1000 POT V HRASTOVEC 21;14.53383237;46.10993519
6041;BOJAN VISO»NIK - ODVETNIK;RIHARJEVA ULICA 2;1000 LJUBLJANA;1000;1000 RIHARJEVA ULICA 2;14.49765723;46.04326307
6042;KRAFT PRO D.O.O;MALA ULICA 1;1354 HORJUL;1354;1354 MALA ULICA 1;14.29635206;46.02066372
6043;MATIC DAJNKO, d.o.o.;LEDINKOVA ULICA 4;2000 MARIBOR;2000;2000 LEDINKOVA ULICA 4;15.61451516;46.55628838
6044;ELEKTROSERVISI, d.d. - ostalo;REäKA CESTA 13;1330 KO»EVJE;1330;1330 REäKA CESTA 13;14.86290109;45.63511332
6045;ZDRUéENJE MULTIPLE SKLEROZE SLOVEN;MAROLTOVA ULICA 14;1000 LJUBLJANA;1000;1000 MAROLTOVA ULICA 14;14.51702498;46.08053352
6047;MERCATOR, d.d. - äKOFJA LOKA - 5m3;KIDRI»EVA CESTA 43B;4220 äKOFJA LOKA;4220;4220 KIDRI»EVA CESTA 43B;14.32280513;46.17200988
6048;BIOTEHNIäKA FAKULTETA - tajni≈°tvo;JAMNIKARJEVA 101, II. stavba pr;1000 LJUBLJANA;1000;1000 JAMNIKARJEVA 101;14.47458760;46.04935912
6049;FILOZOFSKA FAKULTETA ODDELEK ZA SLO;KONGRESNI TRG 12;1000 LJUBLJANA;1000;1000 KONGRESNI TRG 12;14.50415524;46.04919382
6053;BANKART, d.o.o.;CELOVäKA CESTA 150;1000 LJUBLJANA;1000;1000 CELOVäKA CESTA 150;14.48661486;46.07351829
6054;MEDICINSKA FAKULTETA - MIKROBIOLOä;ZALOäKA CESTA 4;1000 LJUBLJANA;1000;1000 ZALOäKA CESTA 4;14.52386858;46.05291238
6056;RESING, d.o.o.;OB ZELENI JAMI 2;1000 LJUBLJANA;1000;1000 OB ZELENI JAMI 2;14.52528863;46.05914464
6057;OGLAäEVANJE ROBERT VIRANT, s.p.;GABRJE 26;1356 DOBROVA;1356;1356 GABRJE 26;14.38465665;46.07663355
6058;EKO-PIS, d.o.o. - uniéçevanje;ARCHINETOVA ULICA 7;1000 LJUBLJANA;1000;1000 ARCHINETOVA ULICA 7;14.55649278;46.05536449
6059;RR & Co, d.o.o.;DUNAJSKA CESTA 20;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 20;14.50861467;46.06221462
6060;SLOVENSKE éELEZNICE - CENTRALNO SK;KRIVA POT 38;1260 LJ-POLJE;1260;1260 KRIVA POT 38;14.61292574;46.05789901
6061;äKOF ANDREJ - slopak;VAäE 26;1215 MEDVODE;1215;1215 VAäE 26;14.39987755;46.13606231
6062;CIMERMAN IVAN - slopak;SNEBERSKA 127 D;1000 LJUBLJANA;1000;1260 SNEBERSKA CESTA 127D;14.58977915;46.07532806
6063;GOLOBI» FRANC - slopak;GUMNIä»E 4;1291 äKOFLJICA;1291;1291 GUMNIä»E 4;14.57505860;45.96632125
6064;DREäAR JANEZ - slopak;VESCA 14;1217 VODICE;1217;1217 VESCA 14;14.50706095;46.15574674
6067;MINISTRSTVO ZA FINANCE - DURS KO»E;LJUBLJANSKA CESTA 10;1330 KO»EVJE;1330;1330 LJUBLJANSKA CESTA 10;14.85847429;45.64091190
6069;MIAN, d.o.o.;TRUBARJEVA 77;1000 LJUBLJANA;1000;1000 TRUBARJEVA CESTA 77;14.51512490;46.05230891
6070;AVTOTRADE, d.o.o.;SINJA GORICA 11;1360 VRHNIKA;1360;1360 SINJA GORICA 11;14.31197065;45.98068256
6071;LEOSS TRADE, d.o.o.;VOJKOVA CESTA 48;1000 LJUBLJANA;1000;1000 VOJKOVA CESTA 48;14.51658056;46.06771003
6072;INTERFLOORING, d.o.o.;ZALOäKA CESTA 69;1000 LJUBLJANA;1000;1000 ZALOäKA CESTA 69;14.53844297;46.05637304
6073;PREBIL PLAST, d.o.o.;»RNI VRH 20;5274 »RNI VRH NAD IDRIJO;5274;5274 »RNI VRH 20;14.03922729;45.93173245
6074;KUHINJICA, d.o.o.;PAPIRNIäKI TRG 4;1260 LJ-POLJE;1260;1260 PAPIRNIäKI TRG 4;14.59196348;46.05072729
6075;VRTEC TRNOVO;KOLEZIJSKA ULICA 11;1000 LJUBLJANA;1000;1000 KOLEZIJSKA ULICA 11;14.50149285;46.04202913
6076;MA-YDI, d.o.o.;KOPRSKA ULICA 94;1000 LJUBLJANA;1000;1000 KOPRSKA ULICA 94;14.48321670;46.03438119
6077;B.DOLENC & SINOVI, d.o.o.;CESTA NA BRDO 4;1000 LJUBLJANA;1000;1000 CESTA NA BRDO 4;14.47704660;46.04483553
6078;EKDIS  (EGMONT, d.o.o.);VEVäKA CESTA 52 in OB éELEZNI;1000 LJUBLJANA;1000;1260 VEVäKA CESTA 52;14.59187092;46.04925134
6079;PRVA OSEBNA ZAVAROVALNICA, d.d.;AMERIäKA ULICA 8;1000 LJUBLJANA;1000;1000 AMERIäKA ULICA 8;14.54128994;46.06689371
6080;SLOVENSKA KNJIGA d.o.o.;STEGNE 7;1000 LJUBLJANA;1000;1000 STEGNE 7;14.48594264;46.08329570
6081;Oä KOSEZE;VODOVODNA 99;1000 LJUBLJANA;1000;1000 VODOVODNA 99;14.50250670;46.07746628
6082;HALCOM, d.d.;TRéAäKA CESTA 118;1000 LJUBLJANA;1000;1000 TRéAäKA CESTA 118;14.47124281;46.03962626
6083;VALINA VAROVANJE, d.o.o.;LITIJSKA CESTA 45;1000 LJUBLJANA;1000;1000 LITIJSKA CESTA 45;14.54397768;46.04809032
6084;VALINA UPRAVLJANJE, d.o.o.;LITIJSKA CESTA 45;1000 LJUBLJANA;1000;1000 LITIJSKA CESTA 45;14.54397768;46.04809032
6086;RAPAL, d.o.o.;PAVäI»EVA ULICA 6;1000 LJUBLJANA;1000;1000 PAVäI»EVA ULICA 6;14.48619022;46.07190581
6088;CENTER ZA SOCIALNO DELO RAVNE NA KO;GOZDARSKA POT 17;2390 RAVNE NA KOROäKEM;2390;2390 GOZDARSKA POT 17;14.96170526;46.53885206
6089;ODVETNIK DANILO GRILJ;éELEZNA CESTA 8A;1000 LJUBLJANA;1000;1000 éELEZNA CESTA 8A;14.51371617;46.06119263
6091;SREDNJA POKLICNA IN STROKOVNA äOLA;PTUJSKA ULICA 6;1000 LJUBLJANA;1000;1000 PTUJSKA ULICA 6;14.51199620;46.06866237
6092;OLYMPUS SLOVENIJA, d.o.o.;BAZNIKOVA ULICA 2;1000 LJUBLJANA;1000;1000 BAZNIKOVA ULICA 2;14.52132677;46.02991273
6093;Oä JURI»EVEGA DREJ»KA;»E»OVJE 24;2390 RAVNE NA KOROäKEM;2390;2390 »E»OVJE 24;14.96410296;46.54088609
6095;INTESA SANPAOLO, d.o.o.;SLOVEN»EVA ULICA 24;1000 LJUBLJANA;1000;1000 SLOVEN»EVA ULICA 24;14.50635273;46.07677209
6096;VELEPOSLANIäTVO KRALJEVINE NIZOZEM;POLJANSKI NASIP 6;1000 LJUBLJANA;1000;1000 POLJANSKI NASIP 6;14.51180991;46.05160203
6097;MOHORJEVA DRUéBA, d.o.o.;VOJKOVA ULICA 58 - biv≈°i IMP;1000 LJUBLJANA;1000;1000 VOJKOVA CESTA 58;14.51797554;46.06932648
6098;PORENTA FRANCI;SPODNJA SENICA 14;1215 MEDVODE;1215;1215 SPODNJA SENICA 14;14.38882521;46.14891538
6099;EKONOMSKA FAKULTETA - uniéçenje;KARDELJEVA PLOä»AD 17;1000 LJUBLJANA;1000;1000 KARDELJEVA PLOä»AD 17;14.51642228;46.07401671
6100;VERTA, d.o.o.;HUDOURNIäKA POT 11;1000 LJUBLJANA;1000;1000 HUDOURNIäKA POT 11;14.54240142;46.02291752
6101;OKROéNO DRéAVNO TOéILSTVO;SLOVENSKA CESTA 41;1000 LJUBLJANA;1000;1000 SLOVENSKA CESTA 41;14.50398357;46.05395284
6102;LIPIS INTERNATIONAL, d.o.o.;GOLJARJEVA POT 12;1210 LJ-äENTVID;1210;1210 GOLJARJEVA POT 12;14.45211969;46.10139526
6103;ELEKTROSERVISI, d.d. - les;DOBRAVE 6;1236 TRZIN;1236;1236 DOBRAVE 6;14.54822398;46.12187853
6105;Oä JEVNICA;JEVNICA 33;1281 KRESNICE;1281;1281 JEVNICA 33;14.73683973;46.08335283
6106;AGROCVET;CIKAVA 55;1290 GROSUPLJE;1290;1290 CIKAVA 55;14.63117569;45.96989839
6107;Oä DOLENJSKE TOPLICE;PIONIRSKA CESTA 35;8350 DOLENJSKE TOPLICE;8350;8350 PIONIRSKA CESTA 35;15.05349800;45.75720475
6109;VIATOR & VEKTOR STORITVE, d.o.o. -;DOLENJSKA CESTA 244;1000 LJUBLJANA;1000;1000 DOLENJSKA CESTA 244;14.53969619;46.01736411
6110;PREVOZ ZA LASTNE POTREBE - LES;POD JEéAMI 3;1000 LJUBLJANA;1000;1000 POD JEéAMI 3;14.52898663;46.05743233
6111;RDS SIMON»I», d.o.o.;GOSPOSVETSKA CESTA 1;1000 LJUBLJANA;1000;1000 GOSPOSVETSKA CESTA 1;14.50396495;46.05459159
6112;LEKARNA PRULE TRNOVO;HRENOVA ULICA 19;1000 LJUBLJANA;1000;1000 HRENOVA ULICA 19;14.50676942;46.04438233
6113;MERIT INTERNATIONAL(PAPIR);LETALIäKA 3;1000 LJUBLJANA;1000;1000 LETALIäKA CESTA 3;14.54426586;46.06181290
6115;BELUPO, d.o.o.;DVORAKOVA ULICA 6;1000 LJUBLJANA;1000;1000 DVORAKOVA ULICA 6;14.50475627;46.05715935
6116;SLOREST, d.o.o.;LIKOZARJEVA ULICA 3;1000 LJUBLJANA;1000;1000 LIKOZARJEVA ULICA 3;14.50443441;46.05992024
6117;Oä ROVTE;ROVTE 90A;1373 ROVTE;1373;1373 ROVTE 90A;14.17487244;45.98553565
6118;DUROPACK TESPACK - nm.;CESTA PRVIH BORCEV 51;8280 BRESTANICA;8280;8280 CESTA PRVIH BORCEV 51;15.47694233;46.00309114
6120;ISKRA TELA - BATTERIES d.d.;äENTVID PRI STI»NI 108;1296 äENTVID PRI STI»NI;1296;1296 äENTVID PRI STI»NI 108;14.84153892;45.95403125
6121;Oä DRAGOMELJ;DRAGOMELJ 180;1230 DOMéALE;1230;1230 DRAGOMELJ 180;14.59403474;46.10513424
6122;VILL BOSS, d.o.o.;GORENJSKA CESTA 54;1215 MEDVODE;1215;1215 GORENJSKA CESTA 54;14.40772293;46.14917651
6123;INTEREUROPA, d.d. - PORSCHE SLOVENI;LETALIäKA 35;1000 LJUBLJANA;1000;1000 LETALIäKA CESTA 35;14.57248814;46.06263230
6124;ESTETIKA SVETLOBE, d.o.o.;OB ZELENI JAMI 9;1000 LJUBLJANA;1000;1000 OB ZELENI JAMI 9;14.52599700;46.05943549
6126;UPRAVNA ENOTA LITIJA;JEREBOVA ULICA 14;1270 LITIJA;1270;1270 JEREBOVA ULICA 14;14.83097255;46.05731918
6128;KOMUNALA TREBNJE d.o.o. - steklo;GOLIEV TRG 9;8210 TREBNJE;8210;8210 GOLIEV TRG 9;15.00826396;45.90732232
6129;VTZ d.o.o. PODJETJE ZA SECURITY, IN;KOPRSKA 96;1000 LJUBLJANA;1000;1000 KOPRSKA ULICA 96;14.48272890;46.03404608
6131;LJUBLJANSKE TRéNICE, d.o.o.;KOPITARJEVA ULICA 2;1000 LJUBLJANA;1000;1000 KOPITARJEVA ULICA 2;14.51088417;46.05106722
6132;ATLANTIC TRADE - EKDIS;VEVäKA CESTA 52;1000 LJUBLJANA;1000;1260 VEVäKA CESTA 52;14.59187092;46.04925134
6133;ATLANTIC TRADE - BTC - skladi≈°éçe;LETALIäKA 16;1000 LJUBLJANA;1000;1000 LETALIäKA CESTA 16;14.55757866;46.06182900
6135;MUZEJ IN GALERIJA MESTA LJUBLJANA;MESTNI TRG 5;1000 LJUBLJANA;1000;1000 MESTNI TRG 5;14.50664698;46.04944750
6136;PREVOZ ZA LASTNE POTREBE - smeti iz;POD JEéAMI 3;1000 LJUBLJANA;1000;1000 POD JEéAMI 3;14.52898663;46.05743233
6137;MERCATOR IP, invalidsko podjetje d.;SLOVEN»EVA 19;1000 LJUBLJANA;1000;1000 SLOVEN»EVA ULICA 19;14.50610249;46.08019910
6139;MERCATOR LOGATEC - arhiva;TRéAäKA CESTA 3;1371 LOGATEC;1371;1371 TRéAäKA CESTA 3;14.29734932;45.96521658
6140;TOLEA d.o.o.;ROBOVA CESTA 6;1360 VRHNIKA;1360;1360 ROBOVA CESTA 6;14.29721728;45.96750122
6141;O1S d.o.o.;äMARTINSKA CESTA 152;1000 LJUBLJANA;1000;1000 äMARTINSKA CESTA 152;14.54196589;46.06800312
6142;KONGO HOTEL & CASINO d.d.;LJUBLJANSKA CESTA 65;1290 GROSUPLJE;1290;1290 LJUBLJANSKA CESTA 65;14.65699529;45.96793588
6143;MAREN MAKS;VNAJNARJE 3;1000 LJUBLJANA;1000;1000 VNAJNARJE 3;14.68406204;46.04400829
6144;BOROVO TRADE, d.o.o.;TAV»ARJEVA ULICA 1;1000 LJUBLJANA;1000;1000 TAV»ARJEVA ULICA 1;14.50518912;46.05499278
6146;GA COMMERCE;BAZOVIäKA CESTA 40;6250 ILIRSKA BISTRICA;6250;6250 BAZOVIäKA CESTA 40;14.24339966;45.55932716
6147;NOTAR MIRO KOäAK;TRG REPUBLIKE 3;1000 LJUBLJANA;1000;1000 TRG REPUBLIKE 3;14.49970085;46.05020921
6148;VRTEC PEDENJPED - ENOTA LIPOGLAV;MALI LIPOGLAV 8;1293 äMARJE - SAP;1293;1293 MALI LIPOGLAV 8;14.64319810;45.99272771
6151;TOBA»NA LJUBLJANA - arhiva;CESTA 24. JUNIJA 23;1000 LJUBLJANA;1000;1000 CESTA 24. JUNIJA 23;14.52691969;46.09681542
6153;AP LJUBLJANA d.d.;TRG OSVOBODILNE FRONTE 4;1000 LJUBLJANA;1000;1000 TRG OSVOBODILNE FRONTE 4;14.50954600;46.05773778
6154;Oä PODGRAD;PODGRAD 2;8322 STOPI»E;8322;8322 PODGRAD 2;15.20245559;45.73549395
6155;INFORMACIJSKA BORZA NEPREMI»NIN d.;TIVOLSKA CESTA 48;1000 LJUBLJANA;1000;1000 TIVOLSKA CESTA 48;14.50466203;46.05758183
6156;ANDREJ äIMENC - slopak;ZABORäT PRI DOLU 12;1262 DOL PRI LJUBLJANI;1262;1262 ZABORäT PRI DOLU 12;14.63799020;46.09300848
6157;PRODUKCIJA PLUS;KRANJ»EVA ULICA 26;1000 LJUBLJANA;1000;1000 KRANJ»EVA ULICA 26;14.52234283;46.06956068
6158;FINMART, d.o.o.;BRN»I»EVA ULICA 15B;1231 LJ-»RNU»E;1231;1231 BRN»I»EVA ULICA 15B;14.54130459;46.09958210
6159;ETIM d.o.o;CESTA NA POLJE 11;2331 PRAGERSKO;2331;2331 CESTA NA POLJE 11;15.65725733;46.39476970
6160;ARCADIA SVETILA d.o.o.;TRéAäKA 222;1000 LJUBLJANA;1000;1000 TRéAäKA CESTA 222;14.45077366;46.03347461
6161;SUMMIT AVTO  d.o.o;FLAJäMANOVA ULICA 3;1000 LJUBLJANA;1000;1000 FLAJäMANOVA ULICA 3;14.52845523;46.06523111
6162;GLASBENA äOLA FRANCA äTURMA;CELOVäKA CESTA 98;1000 LJUBLJANA;1000;1000 CELOVäKA CESTA 98;14.49155121;46.06809671
6163;MUSIC MAX d.o.o.;LEVSTIKOVA ULICA 1D;3000 CELJE;3000;3000 LEVSTIKOVA ULICA 1D;15.26658543;46.23159680
6164;DIDAS d.o.o;KANTETOVA ULICA 44;1000 LJUBLJANA;1000;1000 KANTETOVA ULICA 44;14.46855770;46.04750481
6165;SET, d.o.o. - 35m3 - les;VEVäKA CESTA 52;1000 LJUBLJANA;1000;1260 VEVäKA CESTA 52;14.59187092;46.04925134
6166;SET, d.o.o. - 35m3 - papirni prah;VEVäKA CESTA 52;1000 LJUBLJANA;1000;1260 VEVäKA CESTA 52;14.59187092;46.04925134
6167;ZVEZA BANK POD. LJUBLJANA;BRAVNI»ARJEVA 13;1000 LJUBLJANA;1000;1000 BRAVNI»ARJEVA 13;14.48105766;46.08439840
6168;KD éIVLJENJE, d.d.;CELOVäKA CESTA 206;1000 LJUBLJANA;1000;1000 CELOVäKA CESTA 206;14.48137228;46.07978405
6169;INäTITUT JOéEF äTEFAN - 5m3 za s;JAMOVA CESTA 39;1000 LJUBLJANA;1000;1000 JAMOVA CESTA 39;14.48785865;46.04235597
6170;AVTOHIäA VI» - uniéçevanje;TBILISIJSKA ULICA 49;1000 LJUBLJANA;1000;1000 TBILISIJSKA ULICA 49;14.47862572;46.03903022
6171;JAMNIK, d.o.o. - 5m3;BARLETOVA CESTA 4;1215 MEDVODE;1215;1215 BARLETOVA CESTA 4;14.41343260;46.13688824
6172;A COSMOS, d.d. - odpadki neuporabni;CELOVäKA CESTA 182;1000 LJUBLJANA;1000;1000 CELOVäKA CESTA 182;14.48373461;46.07879597
6173;SID BANKA, d.d.;ULICA JOSIPINE TURNOGRAJSKE 6;1000 LJUBLJANA;1000;1000 ULICA JOSIPINE TURNOGRAJSKE 6;14.50147649;46.04962309
6174;VRTEC CICIBAN NOVO MESTO;RAGOVSKA ULICA 18;8000 NOVO MESTO;8000;8000 RAGOVSKA ULICA 18;15.17642142;45.80386909
6175;LOREX, d.o.o.;STEGNE 33;1000 LJUBLJANA;1000;1000 STEGNE 33;14.47963800;46.08825195
6177;TYCO ELEKTRONICS, d.o.o.;BRN»I»EVA ULICA 13;1000 LJUBLJANA;1000;1231 BRN»I»EVA ULICA 13;14.54086894;46.09908549
6178;BIOTEHNIäKA FAKULTETA - AGENCIJA K;VE»NA POT 111;1000 LJUBLJANA;1000;1000 VE»NA POT 111;14.46996938;46.05123638
6179;SPARK PROMOCIJE d.o.o.;äMARTINSKA CESTA 106;1000 LJUBLJANA;1000;1000 äMARTINSKA CESTA 106;14.53707957;46.06801050
6180;MEDOB»INSKO DRUäTVO CIVILNIH INVA;MALENäKOVA ULICA 1;1000 LJUBLJANA;1000;1000 MALENäKOVA ULICA 1;14.52621664;46.05489258
6181;BUTAN PLIN, d.d. - 5m3;VEROVäKOVA 59;1000 LJUBLJANA;1000;1000 VEROVäKOVA ULICA 59;14.49948971;46.08084527
6182;AUDITORIA, d.o.o.;TRéAäKA CESTA 286D;1000 LJUBLJANA;1000;1000 TRéAäKA CESTA 286D;14.44200325;46.03076895
6183;JAVNA RAZSVETLJAVA - les;LITIJSKA CESTA 263;1000 LJUBLJANA;1000;1000 LITIJSKA CESTA 263;14.59340944;46.04206766
6184;KOMUNALA KRANJ d.o.o. - Lj.;SAVSKA LOKA 33;4000 KRANJ;4000;4000 SAVSKA LOKA 33;14.36950468;46.21988173
6185;TAKKO LJUBLJANA;JUR»KOVA CESTA 224;1000 LJUBLJANA;1000;1000 JUR»KOVA CESTA 224;14.53520056;46.01906455
6186;TAKKO DOMéALE;LJUBLJANSKA CESTA 151;1230 DOMéALE;1230;1230 LJUBLJANSKA CESTA 151;14.60180637;46.14698203
6187;JAVNI STANOVANJSKI SKLAD MESTNE OBé;ZARNIKOVA 3;1000 LJUBLJANA;1000;1000 ZARNIKOVA ULICA 3;14.51621029;46.04935326
6188;CLOUDY d.o.o. - slopak;STEGNE 13A;1000 LJUBLJANA;1000;1000 STEGNE 13A;14.48361611;46.08458990
6189;AGENCIJA ZA TRG VREDNOSTNIH PAPIRJE;POLJANSKI NASIP 6;1000 LJUBLJANA;1000;1000 POLJANSKI NASIP 6;14.51180991;46.05160203
6190;POTEZA, DRUZBA ZA INVESTICIJE, d.d.;éELEZNA CESTA 18;1000 LJUBLJANA;1000;1000 éELEZNA CESTA 18;14.51355754;46.06307247
6191;TIPSU d.o.o.;KRESNIäKE POLJANE 19;1281 KRESNICE;1281;1281 KRESNIäKE POLJANE 19;14.75583331;46.08945906
6192;TAKKO KRANJ;STARA CESTA 25;4000 KRANJ;4000;4000 STARA CESTA 25;14.35138201;46.24097850
6194;SEMENARNA - SKLADIä»E - 35m3;DOLENJSKA CESTA 242;1000 LJUBLJANA;1000;1000 DOLENJSKA CESTA 242;14.53978866;46.02336595
6196;ZVEZA KULTURNIH DRUäTEV GROSUPLJE;ADAMI»EVA 16;1290 GROSUPLJE;1290;1290 ADAMI»EVA 16;14.65792963;45.95652946
6198;EUROPAP d.o.o. - 5m3;CESTA 24. JUNIJA 23;1000 LJUBLJANA;1000;1000 CESTA 24. JUNIJA 23;14.52691969;46.09681542
6199;VIGRAD, d.o.o.;KOCBEKOVA CESTA 30A;3202 LJUBE»NA;3202;3202 KOCBEKOVA CESTA 30A;15.31872853;46.26242233
6200;SBS TRGOVINA d.o.o.;KO»EVSKA CESTA 20;1291 äKOFLJICA;1291;1291 KO»EVSKA CESTA 20;14.57529483;45.98106049
6201;ANéI» IVAN, s.p.;BIä»E 42;1230 DOMéALE;1230;1230 BIä»E 42;14.61427130;46.10430423
6204;EUROPAP d.o.o. - mre≈æasti;CESTA 24. JUNIJA 23;1000 LJUBLJANA;1000;1000 CESTA 24. JUNIJA 23;14.52691969;46.09681542
6205;GR»A JANEZ - slopak;KAMNIK POD KRIMOM 11;1352 PRESERJE;1352;1352 KAMNIK POD KRIMOM 11;14.39795226;45.96397170
6206;ZGODOVINSKI ARHIV LJUBLJANA;MESTNI TRG 27;1000 LJUBLJANA;1000;1000 MESTNI TRG 27;14.50709470;46.04996229
6208;MODRIJAN ZALOéBA, d.o.o.;POLJANSKA CESTA 15;1000 LJUBLJANA;1000;1000 POLJANSKA CESTA 15;14.51338225;46.05060997
6209;ZDRUéENJE BORCEV NOB MOSTE POLJE;OB LJUBLJANICI 42;1000 LJUBLJANA;1000;1000 OB LJUBLJANICI 42;14.53386856;46.05475297
6210;*KNAUF INSULATION, d.o.o. - les*;TRATA 32;4220 äKOFJA LOKA;4220;4220 TRATA 32;14.33389540;46.17596178
6211;ALTA INVEST, d.d. - biv≈°a POTEZA;éELEZNA CESTA 18;1000 LJUBLJANA;1000;1000 éELEZNA CESTA 18;14.51355754;46.06307247
6212;FEROCIOUS FANTASIES;SLOVENSKA CESTA 40, nad gostiln;1000 LJUBLJANA;1000;1000 SLOVENSKA CESTA 40;14.50414507;46.05323373
6213;MIKOMI d.o.o. - ostalo;GERBI»EVA ULICA 38;1000 LJUBLJANA;1000;1000 GERBI»EVA ULICA 38;14.49082387;46.04024572
6214;ZAVOD MOJA SOSESKA;VOJKOVA CESTA 15;1000 LJUBLJANA;1000;1000 VOJKOVA CESTA 15;14.51556206;46.06739982
6215;KOLEDA d.o.o.;REBOLJEVA ULICA 13;1000 LJUBLJANA;1000;1000 REBOLJEVA ULICA 13;14.51698935;46.08165808
6216;SOCIALNA ZBORNICA SLOVENIJE;KOSEäKA CESTA 8;1000 LJUBLJANA;1000;1000 KOSEäKA CESTA 8;14.47114228;46.06921911
6217;TRGOVINA ZADRUéNIK;äKRAB»EV TRG 19;1310 RIBNICA;1310;1310 äKRAB»EV TRG 19;14.72726064;45.73843287
6218;CHEMASS d.o.o.;BABI»EVA ULICA1;1000 LJUBLJANA;1000;1000 BABI»EVA ULICA 1;14.52140629;46.02967912
6219;APOLLONIA d.o.o.;ZALOäKA CESTA 155;1000 LJUBLJANA;1000;1000 ZALOäKA CESTA 155;14.55754355;46.05649325
6220;OMEGA CONSULT, d.o.o.;GREGOR»I»EVA ULICA 7;1000 LJUBLJANA;1000;1000 GREGOR»I»EVA ULICA 7;14.50163338;46.04797720
6221;ZALOéBA MLADIKA d.o.o.;VOJKOVA CESTA 48;1000 LJUBLJANA;1000;1000 VOJKOVA CESTA 48;14.51658056;46.06771003
6222;AVTOPREVOZNIäTVO FRANCI PETERKA s.;»EäNJICE PRI MORAV»AH 24;1251 MORAV»E;1251;1251 »EäNJICE PRI MORAV»AH 24;14.73796686;46.12413241
6223;IMP PROMONT, d.d.;POT K SEJMIä»U 30;1000 LJUBLJANA;1000;1231 POT K SEJMIä»U 30;14.53585295;46.10035196
6225;LUKA KOPER - ostalo;VOJKOVO NABREéJE 38;6000 KOPER;6000;6000 VOJKOVO NABREéJE 38;13.73963314;45.54991047
6226;STROJBETON d.o.o.;ZALOäKA CESTA 269;1260 LJ-POLJE;1260;1260 ZALOäKA CESTA 269;14.61451949;46.06104455
6227;ODVETNIK BORUT RANGUS;RESLJEVA CESTA 25;1000 LJUBLJANA;1000;1000 RESLJEVA CESTA 25;14.51136671;46.05644988
6228;KOMUNALA TRéI» d.o.o. - slopak;MLAKA 6;4290 TRéI»;4290;4290 MLAKA 6;14.29495640;46.34989954
6229;ELTAS, d.o.o. -ostalo;TRUBARJEVA CESTA 7;8310 äENTJERNEJ;8310;8310 TRUBARJEVA CESTA 7;15.33575534;45.84369453
6230;LITOSTROJ POWER, d.o.o.;LITOSTROJSKA CESTA 50;1000 LJUBLJANA;1000;1000 LITOSTROJSKA CESTA 50;14.49382878;46.08201711
6231;ZAVOD ZA ZAPOSLOVANJE - obmoéçna sl;RUDARSKA 6A;3320 VELENJE;3320;3320 RUDARSKA 6A;15.11369853;46.35920088
6232;VG5, d.o.o.;POT K SEJMIä»U 26A;1000 LJUBLJANA;1000;1231 POT K SEJMIä»U 26A;14.53634338;46.10047991
6233;OKRAJNO SODIä»E V CERKNICI;CESTA 4. MAJA 23;1380 CERKNICA;1380;1380 CESTA 4. MAJA 23;14.36665433;45.79309404
6234;ZAVOD ZA ZAPOSLOVANJE;PARMOVA 32;1000 LJUBLJANA;1000;1000 PARMOVA ULICA 32;14.50460959;46.06201744
6235;DRUéINA, d.o.o. - ostalo;KREKOV TRG 1;1000 LJUBLJANA;1000;1000 KREKOV TRG 1;14.51078665;46.05040098
6236;PLANETA TRGOVINA IN STORITVE, d.o.o;äMARTINSKA CESTA 152;1000 LJUBLJANA;1000;1000 äMARTINSKA CESTA 152;14.54196589;46.06800312
6238;ZAVOD ZA ZAPOSLOVANJE - obmoéçna en;äKRAB»EV TRG 13;1310 RIBNICA;1310;1310 äKRAB»EV TRG 13;14.72840846;45.73757176
6239;Zdru≈æenje SAZAS;äPRUHA 19;1236 TRZIN;1236;1236 äPRUHA 19;14.54634941;46.11851504
