SIF_STR;NAZIV;NASLOV;KRAJ;POSTA;SKUP1;X;Y
2297;Oä SOSTRO;CESTA II. GRUPE ODREDOV 47;1000 LJUBLJANA;1000;1000 CESTA II. GRUPE ODREDOV 47;14.59898653;46.03552797
2299;EUROPAPIER - slopak;LESKOäKOVA 14;1000 LJUBLJANA;1000;1000 LESKOäKOVA CESTA 14;14.55565076;46.06532163
2300;ZELENI TRIKOTNIK (PARKS 1);äMARTINSKA 55;1000 LJUBLJANA-dosta;1000;1000 äMARTINSKA CESTA 55;14.52772436;46.06453528
2302;PATENTNA PISARNA;»OPOVA ULICA 14;1000 LJUBLJANA;1000;1000 »OPOVA ULICA 14;14.50469831;46.05205742
2305;PEKARNA GROSUPLJE;GASILSKA CESTA 2;1290 GROSUPLJE;1290;1290 GASILSKA CESTA 2;14.66179399;45.95109722
2307;PEKARNA KOVA»I», d.o.o.;IéANSKA CESTA 387;1000 LJUBLJANA;1000;1000 IéANSKA CESTA 387;14.51599482;46.00727010
2308;PERUTNINSKI KOMBINAT PIVKA;äMARTINSKA 102;1000 LJUBLJANA-dosta;1000;1000 äMARTINSKA CESTA 102;14.53597272;46.06743018
2309;PETROL - SKLADIä»E SDC - slopak;ZALOäKA CESTA 259;1000 LJUBLJANA;1000;1000 ZALOäKA CESTA 259;14.60275653;46.05759436
2310;POLITEX;CESTA BORCEV 1;1235 RADOMLJE;1235;1235 CESTA BORCEV 1;14.60946711;46.17311905
2311;PORSCHE INTERAUTO;BRAVNI»ARJEVA ULICA 5;1000 LJUBLJANA;1000;1000 BRAVNI»ARJEVA ULICA 5;14.47996190;46.08404253
2312;PORSCHE INTERAUTO;VEROVäKOVA 78;1000 LJUBLJANA-dosta;1000;1000 VEROVäKOVA ULICA 78;14.50236214;46.08350306
2315;PREDILNICA LITIJA;KIDRI»EVA CESTA 1;1270 LITIJA;1270;1270 KIDRI»EVA CESTA 1;14.82590036;46.05922814
2318;PSIHIATRI»NA KLINIKA - slopak;STUDENEC 48;1000 LJUBLJANA;1000;1260 STUDENEC 48;14.57167397;46.05254289
2320;RADENSKA d.d.;LESKOäKOVA 9;1000 LJUBLJANA;1000;1000 LESKOäKOVA CESTA 9;14.55877646;46.06399304
2321;RADENSKA d.d.;LESKOäKOVA 9;1000 LJUBLJANA;1000;1000 LESKOäKOVA CESTA 9;14.55877646;46.06399304
2322;REMI-TROBEC;BERI»EVO 47;1262 DOL PRI LJUBLJANI;1262;1262 BERI»EVO 47;14.61976738;46.08747907
2324;RIVAL TRADE;PESKE 8;1236 TRZIN;1236;1236 PESKE 8;14.54705618;46.12227881
2325;RODEX d.o.o.;ROVSKA CESTA 2;1235 RADOMLJE;1235;1235 ROVSKA CESTA 2;14.62618528;46.17915798
2326;EUROGARDEN d.o.o.;PODSMREKA 7;1356 DOBROVA;1356;1356 PODSMREKA 7;14.42999528;46.03525373
2327;RTV SLOVENIJA - kombi;»UFARJEVA ULICA 2;1000 LJUBLJANA;1000;1000 »UFARJEVA ULICA 2;14.50845763;46.05512380
2328;RTV SLOVENIJA - 5m3 zab.;»UFARJEVA ULICA 6;1000 LJUBLJANA;1000;1000 »UFARJEVA ULICA 6;14.51007635;46.05475282
2335;SEMENARNA - KALIA;DOLENJSKA CESTA 242;1000 LJUBLJANA-dosta;1000;1000 DOLENJSKA CESTA 242;14.53978866;46.02336595
2337;SILK;BRODIä»E 15;1236 TRZIN;1236;1236 BRODIä»E 15;14.54880074;46.12255561
2338;SINTER d.o.o.;CESTA V MESTNI LOG 75;1000 LJUBLJANA;1000;1000 CESTA V MESTNI LOG 75;14.48164805;46.03358232
2339;*SLOVENIJALES TRGOVINA d.o.o.*;PLEMLJEVA 8;1210 LJ-äENTVID;1210;1210 PLEMLJEVA 8;14.45896449;46.10379412
2340;SLOVENSKA KNJIGA d.o.o. - 5m3;STEGNE 7;1000 LJUBLJANA;1000;1000 STEGNE 7;14.48594264;46.08329570
2341;SMART COM;BRN»I»EVA ULICA 45;1000 LJUBLJANA;1000;1231 BRN»I»EVA ULICA 45;14.55581203;46.09529332
2348;BEéIGRAJSKI DVOR (SPL);KRéI»EVA 3;1000 LJUBLJANA;1000;1000 KRéI»EVA ULICA 3;14.51016415;46.06532543
2350;LASTNIKI POSLOVNIH PROSTOROV;LESKOäKOVA 12;1000 LJUBLJANA;1000;1000 LESKOäKOVA CESTA 12;14.55679050;46.06503812
2352;STATISTI»NI URAD RS;VOéARSKI POT 12;1000 LJUBLJANA;1000;1000 VOéARSKI POT 12;14.50786577;46.04460299
2358;TEHNOUNION d.d.;BRAVNI»ARJEVA ULICA 11;1000 LJUBLJANA;1000;1000 BRAVNI»ARJEVA ULICA 11;14.48053567;46.08490890
2359;TEKSTIL;LETALIäKA 34;1000 LJUBLJANA-dosta;1000;1000 LETALIäKA CESTA 34;14.57266792;46.06110337
2362;TEVIS-AGENCIJA ZA KADRE;KOTNIKOVA 38;1000 LJUBLJANA;1000;1000 KOTNIKOVA ULICA 38;14.51477089;46.05733710
2363;TOBA»NA GROSIST;TOBA»NA 5;1000 LJUBLJANA;1000;1000 TOBA»NA ULICA 5;14.49402976;46.04858275
2365;TOTRA TEKSTIL d.d.;TRPIN»EVA 39;1000 LJUBLJANA;1000;1000 TRPIN»EVA ULICA 39;14.55685578;46.05035420
2366;TOTRA PLASTIKA d.d.;TRPIN»EVA 39;1000 LJUBLJANA-dosta;1000;1000 TRPIN»EVA ULICA 39;14.55685578;46.05035420
2367;*ORKA, d.o.o.*;TOVARNIäKA 48;1000 LJUBLJANA;1000;1000 TOVARNIäKA ULICA 48;14.53618909;46.06163658
2373;TRGOVINA NAKUP;äUTNA 48;1240 KAMNIK;1240;1240 äUTNA 48;14.60823216;46.22323052
2381;VARNOST SISTEMI d.o.o.;KOPRSKA 94;1000 LJUBLJANA;1000;1000 KOPRSKA ULICA 94;14.48321670;46.03438119
2382;VEGA INTERNATIONAL;STEGNE 13a;1000 LJUBLJANA-dosta;1000;1000 STEGNE 13A;14.48361611;46.08458990
2384;VELANA        5m3;äMARTINSKA 52;1000 LJUBLJANA-dosta;1000;1000 äMARTINSKA CESTA 52;14.52811793;46.06385308
2385;VELANA       35m3;äMARTINSKA 52;1000 LJUBLJANA-dosta;1000;1000 äMARTINSKA CESTA 52;14.52811793;46.06385308
2386;VETERINARSKA FAKULTETA;CESTA V MESTNI LOG 47;1000 LJUBLJANA;1000;1000 CESTA V MESTNI LOG 47;14.49286968;46.03692564
2387;VIäKI CENTER INéENIRING;TRéAäKA 132;1000 LJUBLJANA-dosta;1000;1000 TRéAäKA CESTA 132;14.46815651;46.03810937
2389;VLADA RS;VODOVODNA 93;1000 LJUBLJANA-dosta;1000;1000 VODOVODNA 93;14.50379778;46.07477259
2391;VRTEC ZELENA JAMA;ZVEZNA ULICA 24;1000 LJUBLJANA-dosta;1000;1000 ZVEZNA ULICA 24;14.53162936;46.05976454
2393;WIT B;BRN»I»EVA ULICA 29;1000 LJUBLJANA;1000;1231 BRN»I»EVA ULICA 29;14.54845672;46.09962845
2394;ZAVOD ZA TRANSFUZIJSKO MEDICESTA;äLAJMERJEVA 6;1000 LJUBLJANA-dosta;1000;1000 äLAJMERJEVA ULICA 6;14.52532994;46.05430407
2395;ZAVODI SVETEGA STANISLAVA;äTULA 23;1000 LJUBLJANA-dosta;1000;1210 äTULA 23;14.47109882;46.09686858
2396;ZDRAVSTVENI DOM DOMéALE;MESTNI TRG 2;1230 DOMéALE-dostava;1230;1230 MESTNI TRG 2;14.59629400;46.13955783
2397;ZDRAVSTVENI DOM LJUBLJANA - VI» -;äESTOVA ULICA 10;1000 LJUBLJANA;1000;1000 äESTOVA ULICA 10;14.48718907;46.04631196
2398;ZDRAVSTVENI DOM LJUBLJANA - RUDNIK;RAKOVNIäKA 4;1000 LJUBLJANA;1000;1000 RAKOVNIäKA ULICA 4;14.52360767;46.03659851
2400;éIVALSKI VRT LJUBLJANA;VE»NA POT 70;1000 LJUBLJANA;1000;1000 VE»NA POT 70;14.47215171;46.05276705
2402;PANTA RHEI d.o.o.;TRéAäKA 118;1000 LJUBLJANA;1000;1000 TRéAäKA CESTA 118;14.47124281;46.03962626
2410;WUERTH;BRODIä»E 25;1236 TRZIN;1236;1236 BRODIä»E 25;14.54633388;46.12358061
2445;ENGROTUä (biv≈°i VELE);MESTNI TRG 1;1230 DOMéALE;1230;1230 MESTNI TRG 1;14.59494898;46.13940913
2458;PEKARNA BLATNIK - MENGEä;KOLODVORSKA CESTA 2a;1234 MENGEä;1234;1234 KOLODVORSKA CESTA 2A;14.57345912;46.16853720
2461;ENGROTUä (biv≈°i VELE);KARANTANSKA CESTA 6;1230 DOMéALE;1230;1230 KARANTANSKA CESTA 6;14.59568761;46.13751326
2463;ENGROTUä (biv≈°i VELE);INDUSTRIJSKA CESTA 3;1290 GROSUPLJE;1290;1290 INDUSTRIJSKA CESTA 3;14.65262830;45.95431809
2465;INTEREUROPA d.d.;LETALIäKA 35;1000 LJUBLJANA;1000;1000 LETALIäKA CESTA 35;14.57248814;46.06263230
2466;INTEREUROPA d.d.;LETALIäKA 35;1000 LJUBLJANA;1000;1000 LETALIäKA CESTA 35;14.57248814;46.06263230
2471;COLLEGIUM GRAPHICUM d.o.o.;äTEPANJSKA CESTA 11a;1000 LJUBLJANA;1000;1000 äTEPANJSKA CESTA 11A;14.54234931;46.04968543
2478;TISKARNA SIM»I» MILAN;KOPRSKA 72;1000 LJUBLJANA-dosta;1000;1000 KOPRSKA ULICA 72;14.48193623;46.03731766
2480;TISKARNA PREZENT;IéANSKA CESTA 383;1000 LJUBLJANA;1000;1000 IéANSKA CESTA 383;14.51500310;46.00697798
2481;PAPIRUS PRINT 2000 d.o.o.;OB éELEZNICI 16-7;1000 LJUBLJANA-dosta;1000;1000 OB éELEZNICI 16;14.53702470;46.05907562
2483;STUDIO PRINT d.o.o.;KOBLARJEVA ULICA 7a;1000 LJUBLJANA;1000;1000 KOBLARJEVA ULICA 7A;14.52716998;46.05220622
2486;BAGRAF d.o.o.;KRANERJEVA ULICA1;1000 LJUBLJANA;1000;1000 KRANERJEVA ULICA 1;14.44872432;46.07600573
2488;BUéGA;SAVSKA 3;1000 LJUBLJANA;1000;1000 SAVSKA CESTA 3;14.52521792;46.06439897
2489;éELEZNIäKA TISKARNA;HLADILNIäKA POT 28;1000 LJUBLJANA;1000;1000 HLADILNIäKA POT 28;14.60823652;46.06308375
2491;KRO d.o.o.;BARLETOVA CESTA 4;1215 MEDVODE;1215;1215 BARLETOVA CESTA 4;14.41343260;46.13688824
2492;NOVIAL;OB éELEZNICI 14;1000 LJUBLJANA-dosta;1000;1000 OB éELEZNICI 14;14.53428546;46.05898356
2494;ITAGRAF;STEGNE 11;1000 LJUBLJANA;1000;1000 STEGNE 11;14.48482110;46.08432539
2496;TISKARNA HREN;CESTA V GORICE 40;1000 LJUBLJANA;1000;1000 CESTA V GORICE 40;14.46270130;46.03308123
2499;KARTONAéA VIDMAR;JAMNIKARJEVA ULICA 1;1000 LJUBLJANA;1000;1000 JAMNIKARJEVA ULICA 1;14.47487262;46.04517651
2500;SIMPRO BREZOVICA;PODSVETIJA 1;1351 BREZOVICA;1351;1351 PODSVETIJA 1;14.41796349;46.02207463
2501;TISKARNA FORMATISK;BOBEN»KOVA ULICA 4;1000 LJUBLJANA;1000;1000 BOBEN»KOVA ULICA 4;14.48465605;46.04495995
2502;LITTERA PICTA;BARLETOVA CESTA 4;1215 MEDVODE;1215;1215 BARLETOVA CESTA 4;14.41343260;46.13688824
2503;INFORMATIKA;HAJDRIHOVA ULICA 2;1000 LJUBLJANA;1000;1000 HAJDRIHOVA ULICA 2;14.49079207;46.04513132
2505;BUKVA;POT NA LABAR 29;1000 LJUBLJANA;1000;1000 POT NA LABAR 29;14.62077895;46.06428654
2507;PRIMA;NADGORIäKA 39;1000 LJUBLJANA-dosta;1000;1231 NADGORIäKA CESTA 39;14.55898853;46.09918353
2508;NOVA LJUBLJANSKA BANKA EMONA;äMARTINSKA 130;1000 LJUBLJANA;1000;1000 äMARTINSKA CESTA 130;14.53865582;46.06810683
2520;ROLGRAF-TISKARNA MEDVODE;CESTA NA SVETJE 28;1215 MEDVODE;1215;1215 CESTA NA SVETJE 28;14.40528030;46.14397229
2521;ADRIA MEDIA, d.o.o.;VOäNJAKOVA ULICA 3;1000 LJUBLJANA;1000;1000 VOäNJAKOVA ULICA 3;14.50194473;46.05649934
2522;MLADINA;RESLJEVA 16;1000 LJUBLJANA-dosta;1000;1000 RESLJEVA CESTA 16;14.51118709;46.05482954
2523;KOMUNALA äKOFJA LOKA;KIDRI»EVA CESTA 43a;4220 äKOFJA LOKA;4220;4220 KIDRI»EVA CESTA 43A;14.32298367;46.17223587
2524;NOVA KUVERTA;SLOVEN»EVA 17;1000 LJUBLJANA;1000;1000 SLOVEN»EVA ULICA 17;14.50583874;46.07932520
2525;DARMA KNJIGOVEäTVO;KLE»E 25;1262 DOL PRI LJUBLJA;1262;1262 KLE»E 25;14.49544637;46.09752711
2526;GEODETSKI INäTITUT;JAMOVA CESTA 2;1000 LJUBLJANA;1000;1000 JAMOVA CESTA 2;14.49494709;46.04575253
2529;DNEVNIK;KOPITARJEVA 2 IN 4;1000 LJUBLJANA;1000;1000 KOPITARJEVA ULICA 4;14.51092080;46.05131032
2531;KOLOSEJ;äMARTINSKA 152;1000 LJUBLJANA;1000;1000 äMARTINSKA CESTA 152;14.54196589;46.06800312
2535;SALOMON, d.o.o. - prej DELO REVIJE;DUNAJSKA CESTA 5;1000 LJUBLJANA;1000;1000 DUNAJSKA CESTA 5;14.50613244;46.05936970
2542;MERCATOR MO2-A NOVE JARäE;BEBLERJEV TRG 2;1000 LJUBLJANA-dosta;1000;1000 BEBLERJEV TRG 2;14.54668781;46.07072116
2547;SLOVENSKA OGLAäEVALSKA ZBORNICA;PARMOVA 53;1000 LJUBLJANA;1000;1000 PARMOVA ULICA 53;14.50269530;46.06505936
2548;ELI LILLY, d.o.o.;BRN»I»EVA ULICA 41G;1000 LJUBLJANA;1000;1231 BRN»I»EVA ULICA 41G;14.55328513;46.09430278
2559;CGS PLUS d.o.o.;BRN»I»EVA ULICA 13;1000 LJUBLJANA;1000;1231 BRN»I»EVA ULICA 13;14.54086894;46.09908549
2562;TISKARNA SOMARU;BEVKE 70;1360 VRHNIKA;1360;1360 BEVKE 70;14.35663873;45.98520699
2563;AGENCIJA IMELDA;POLJANSKA 25;1000 LJUBLJANA;1000;1000 POLJANSKA CESTA 25;14.51462339;46.05054324
2565;PEDAGOäKI INäTITUT;GERBI»EVA ULICA 62;1000 LJUBLJANA;1000;1000 GERBI»EVA ULICA 62;14.48696331;46.03996758
